source,target,weight
government,get,1
those,we,2
out,here,5
recommend,get,3
study,drug,1
how,against,3
cervical_cancer,news,14
say,cervical_cancer,2
what,hoe,1
infect,mouth,12
do,over,3
cervical_cancer,go,6
how,does,8
year,month,3
UK,UK,1
hate,say,1
all,HPV_virus,2
women,do,10
good,cervical_cancer,11
cancer,worldwide,1
vaccine,HPV,21
smear,facilitate,1
know,care,3
like,make,3
screening,reduce,3
campaign,attend,1
cervical_cancer,genital,1
respond,you,1
now,common,2
totally,mouth,1
women,breast,4
old,she,6
know,talk,1
awareness,important,2
man,more,5
most,test,3
patient,patient,1
out,month,1
HPV_shot,my_arm,3
now,both,3
most,Gardasil,1
there,take,1
which,female,1
than,go,1
do,come,1
which,over,2
screening,pap,9
hate,camcer,1
abnormal,spread,1
who,still,2
Prevention,awareness,5
just,everyone,1
HPV_vaccine,all,14
medical,annual,1
what,message,1
out,awareness,1
screening,identify,1
pap,prevent,4
forget,day,1
we,know,9
media,center,1
bad,better,1
why,why,2
catch,treat,3
sexual,there,2
daughter,how,1
ok,ok,1
warts,genital,6
HPV,let,4
question,you,3
kill,myself,1
like,local,1
US,US,2
warn,danger,1
dose,morning,1
call,pharma,1
std,AIDS,1
good,than,2
US,always,1
sexually,more,1
ask,doctor,1
love,how,4
treatment,cure,1
early,symptoms,1
worse,I,1
both,each,1
January,exam,1
fun,like,1
than,Gardasil_shot,1
higher,rates,16
sure,date,1
month,friend,1
get,safe,1
how,know,4
study,vax,1
get,use,8
both,day,1
some,they,4
join,join,1
Gardasil,girl,6
free,care,2
such,deadly,1
remember,when,3
spread,fight,1
help,out,4
yes,get,5
blood,test,19
blog,know,2
cervical_cancer,virus,10
watch,HPV,2
I,wrong,3
right,away,1
what,annual,1
camcer,world,1
amazing,amazing,1
cervical_cancer,come,5
human_papilloma,most,5
cervical_cancer,female,3
risk,support,1
doctor,Gardasil,8
which,genital,2
join,during,1
still,than,1
here,out,5
regular,cervical_cancer,9
March,need,1
know,yo,1
than,I,4
before,need,1
women,share,2
Monday,January,1
check_out,man,1
who,who,7
forget,perform,1
doctor,discuss,1
breast_cancer,not,2
smear,attend,2
HPV,risk,17
awareness,most,1
what,screening,2
who,sexually,4
gay,male,1
you,not,42
which,do,2
know,about,2
blog,take,1
worst,sign,1
watch,watch,3
just,last,5
suffer,HPV,1
like,I,15
cervical_cancer,project,2
live,live,2
order,husband,1
who,here,1
week,new,1
cervical_cancer,mother,3
boy,what,1
since,truth,1
major,find,1
out,go,3
support,campaign,8
when,people,3
you,week,3
local,get,2
available,woman,1
there,prevent,1
I,see,11
over,around,1
aid,trust,1
chance,early,1
free,people,1
against,some,3
learn,fight,1
positive,show,1
pretty,you,5
like,sex,2
sexual,January,4
natural,cervical_cancer,2
important,thing,4
use,special,1
screen,women,3
they,hope,1
awesome,people,1
against,women,3
south,week,3
I,contract,3
young,know,1
make,sure,11
vaccine,all,4
most,cervical_cancer,13
abnormal,abnormal,2
better,better,1
check,see,1
who,man,9
do,tell,1
child,fight,1
prevent,only,2
Prevention,between,1
give,you,17
against,human_papilloma,3
approve,man,1
sure,what,1
I_am,you,2
camcer,might,2
virus,Infection,2
after,thing,1
thank_you,pap_smear,3
man,up,1
recommendation,document,1
now,cervical_cancer,11
how,women,5
Lady,cervical,2
day,both,1
know,there,3
cervical_cancer,ovarian,3
need,back,1
women,active,1
Merck,Gardasil,10
do,Gardasil,6
than,than,1
thank,he,1
health,more,3
hoe,yo,1
I,possible,2
sex,many,8
website,smear,1
girl,boy,7
human_papillomavirus,cancer,1
type,over,1
we,Prevention,1
know,blog,1
press,older_woman,1
campaign,campaign,2
provide,boy,1
mother,time,3
heart,heart,1
man,sorry,1
effect,those,1
Gardasil_shot,mom,2
play,funny,1
prevent,more,5
Prevention,put,1
pap_smear,method,1
HPV_vaccine,read,3
GP,you,1
ovarian_cancer,warning,1
when,well,1
letter,document,1
more,more,11
please,add,4
preventable,talk,1
tonight,Information,1
cervical_cancer,Effective,2
good,recurrence,1
cervical_cancer,lower,33
doctor,speak,1
role,cancer,2
screening,need,2
cervical_cancer,perform,1
pap,sex,2
back,last,1
you,wan,1
still,need,10
age,age,16
controversy,HPV,1
which,women,2
now,often,1
program,doctor,1
flu,Gardasil,1
system,target,1
get,early,2
test,test,8
I,hurt,3
own,Children,1
I_am,vaccine,1
scary,tonight,1
survivor,doctor,2
likely,likely,1
great,know,1
common,off,1
cervical_health,long,1
beat,beat,2
what,some,1
when,cervical,1
TRUE,come,1
doctor,regular,2
does,know,1
three,Gardasil,1
just,why,3
well,just,2
both,great,1
strong,strong,1
Information,cervical_cancer,13
stage,health,1
Gardasil_shot,I,6
major,out,1
do,there,2
protect_against,camcer,2
those,learn,1
day,during,1
I,why,3
day,day,1
not,HPV,29
program,free,1
up,time,2
girl,we,6
plan,HPV_vaccine,2
late,late,1
just,only,1
age,vaccine,1
no,you,15
neck,neck,1
birth,shot,1
we,talk,3
girl,she,4
tomorrow,tomorrow,1
awareness,do,2
I,hate,13
form,camcer,1
lower,cervical,2
follow,great,1
great,both,1
kill,they,2
help,again,1
online,run,1
high,high,1
project,free,2
who,ever,2
hate,cervical_cancer,1
over,screening,3
they,know,6
CDC,regular,1
away,cervical_cancer,31
everyone,just,1
regular,up,3
often,cervical_cancer,3
I,more,15
some,time,2
such,stage,1
Prevention,why,6
we,more,6
cervical_cancer,use,8
new,group,2
later,again,1
between,screening,1
you,cover,1
HPV,administration,1
learn,protect,1
early,Information,3
cervical,ask,1
my,week,7
cervical_cancer,anything,2
data,study,1
how,I_know,1
cervix,camcer,3
HPV_test,HPV_test,4
prevent,form,1
who,expert,1
some,out,4
replace,replace,3
teens,higher,10
disease,disease,1
read,article,4
what,out,2
when,they,13
city,city,6
I,tell,5
call,call,1
Gardasil,researcher,3
they,sexually,10
they,child,1
pap_smear,vagina,1
how,news,1
only,pap,1
HPV,oral_cancer,13
study,cervical_cancer,19
when,just,2
word,anyone,1
just,sure,1
know,prevent,1
girl,help,3
young_woman,I,2
explain,read,1
many,early,1
women,between,2
Prevention,friend,1
know,when,6
year,January,3
word,camcer,3
common,now,1
does,mean,3
great,great,1
old,when,2
Lady,camcer,1
screening,over,7
I,community,3
everyone,today,1
give,give,1
after,those,1
early,cervical_cancer,13
access,article,2
HPV,my,13
read,HPV,6
during,Infection,1
put,yourself,5
difference,cervical_cancer,1
time,I,9
now,now,1
not,Children,1
use,use,1
detect,US,1
please,spread,9
you,national,2
ovarian_cancer,ovarian_cancer,1
afraid,you,1
reduce,screening,2
