source,target,weight
new_blog,new_blog,8
HIV,HPV,267
latest,latest,6
want,Gardasil_vaccine,4
only,only,9
FDA,genital,10
come,like,6
clear,transmit,1
effect,effect,2
HPV,issues,18
4,new,20
half,associate,8
document,document,1
day,sore,1
female,cervical_cancer,63
age,age,42
final,take,2
company,pay,2
business,business,5
between,sexually,1
camcer,many,20
country,cervical_cancer,42
new,you,88
man,infect,74
read,read,5
male,circumcision,93
contact,girl,1
new,vaccine,138
out,pap,54
you,high,15
race,race,2
forget,come,2
HPV_virus,HPV_virus,19
sexually,well,2
Canada,Canada,1
GSK,GSK,1
arm,after,8
card,win,1
teenage,teenage,5
FDA,after,4
HPV_vaccine,global,23
young_woman,more,14
head,head,8
like,yesterday,3
genital,some,22
you,Friday,4
Twitter,not,8
approve,finally,1
follow,follow,12
final,safe,1
anyone,anyone,5
plan,HPV,28
older_woman,older_woman,6
approve,get,11
love,love,13
human_papilloma,sex,2
cool,recent,1
teen_girl,HPV,27
latest,blog,8
Gardasil,deadly,25
go,go,23
follow,answer,3
good,good,24
since,take,1
call,HPV_vaccine,48
hour,answer,1
high,jab,1
camcer,Lady,17
dolphins,dolphins,2
warts,think,1
cure,cure,10
home,hate,1
serious,serious,5
way,form,1
symptom,symptom,1
understand,understand,1
raw,raw,1
young_woman,young_woman,13
jag,jag,4
chance,usually,5
perfume,perfume,1
drive,USB,10
currently,HPV,24
ad,ad,1
later,cause,3
GB,USB,93
only,reduce,1
effect,over,3
happy,day,27
someone,healthy,1
good,than,14
protection,Gardasil,9
hey,hey,1
million,around,1
they,more,33
doctor,Gardasil,80
Gardasil,people,52
hate,control,1
instead,instead,1
after,more,25
some,HPV_shot,9
benefit,benefit,4
Information,Information,8
though,great,2
family,family,2
HPV_vaccine,sexually_transmit,12
cervical_cancer,always,47
feel,pain,6
surgery,surgery,5
late,approval,1
Gardasil,must,10
hate,birth,1
cervical_cancer,must,61
she,never,21
interesting,interesting,1
up,early,19
HPV,my,576
good,daughter,3
such,day,3
arm,arm,2
decision,decision,1
american,not,6
word,word,2
recommend,make,1
we,when,26
vaccination,girl,83
guide,guide,2
article,want,5
know,needle,3
like,does,30
school,Tuesday,1
when,more,21
genital_HPV,genital_HPV,4
when,last,77
breast,breast,12
there,human_papilloma,2
recall,recall,5
lung,lung,8
abnormal_pap_smear,abnormal_pap_smear,6
I,new_blog,11
fact,HP,3
how,warts,40
shit,where,4
arm,good,2
comment,comment,1
lead,cervical_cancer,110
HPV_vaccine,plan,22
scare,scare,1
trial,trial,1
link,latest,2
law,document,1
HP,reduce,2
warts,warts,194
research,there,2
herpes,medical,2
nothing,health,4
there,take,6
against,protect_against,9
spread,yo,3
back,I,78
today,health,24
doctor,serious,4
