Word,POS,Frequency,,,,,Frequency
diagnosis,NN,13,,68,45,24,150
fun,NN,23,,79,48,,150
job,NN,22,,88,40,,150
such,JJ,37,,113,,,150
beat,VBD,11,,99,39,,149
review,NN,42,66,,41,,149
series,NN,71,,34,43,,148
worse,JJR,36,,62,50,,148
full,JJ,19,,66,62,,147
global,JJ,11,,82,54,,147
Harry,NNP,50,,,97,,147
primary,JJ,11,,64,52,20,147
worst,JJS,18,,59,50,20,147
ABC,NNP,,,102,44,,146
always,RB,26,,120,,,146
RIP,NNP,113,,,32,,145
auction,NN,36,,107,,,143
notice,notice,,143,,,,143
notice,notice,,143,,,,143
percent,NN,23,,62,58,,143
admit,VBP,,,49,93,,142
brain,NN,16,,92,34,,142
hoe,NN,18,,75,49,,142
play,NN,18,,62,62,,142
recall,NN,14,,,127,,141
send,VBP,38,,72,31,,141
available,JJ,30,,110,,,140
apparently,RB,19,,66,54,,139
around,IN,32,,107,,,139
funny,JJ,22,,71,46,,139
yo,NN,17,,122,,,139
note,NN,14,,70,54,,138
contact,NN,21,,63,53,,137
deny,VBP,137,,,,,137
small,JJ,15,,77,45,,137
team,NN,12,,60,45,20,137
ban,NN,87,,,49,,136
class,NN,21,,76,39,,136
incidence,NN,18,,47,71,,136
pretty,RB,16,,69,51,,136
Star,NNP,136,,,,,136
accord,NN,25,,110,,,135
aid,NN,12,,73,50,,135
nothing,NN,40,,95,,,135
success,NN,50,,,53,32,135
viral,viral,,109,,,26,135
wife,NN,16,,60,59,,135
require,VBP,11,,123,,,134
document,NN,11,,122,,,133
refuse,VBP,51,,,,82,133
charity,NN,20,,55,57,,132
Committee,NNP,11,,121,,,132
press,NN,26,,74,32,,132
schedule,NN,14,,46,45,27,132
target,NN,21,,43,48,20,132
California,NNP,131,,,,,131
finally,RB,23,,66,42,,131
line,NN,18,,57,33,23,131
petition,NN,31,,,,100,131
advance,NN,17,,34,51,28,130
America,NNP,,,93,37,,130
each,DT,27,,103,,,130
picture,NN,19,,40,38,33,130
suffer,VBP,14,,72,44,,130
enough,RB,14,,115,,,129
potential,JJ,64,,,65,,129
reason,NN,129,,,,,129
worldwide,NN,13,,65,51,,129
complete,JJ,12,,116,,,128
lie,NN,128,,,,,128
name,NN,28,,100,,,128
worry,VBP,87,,,41,,128
BBC,NNP,59,,,68,,127
Food,NNP,35,,34,58,,127
Helium,NNP,73,,,54,,127
survey,NN,15,,37,75,,127
michellemalkin,NN,38,,88,,,126
record,NN,11,,55,39,21,126
connection,NN,16,,46,63,,125
decrease,NN,13,,36,76,,125
