source,target,weight
make,your,6
boy,campaign,2
Harry,Harry,2
remember,pap_smear,2
breast,breast,2
awareness,charity,2
forget,good,2
HPV,test,50
effect,effect,3
infection,disease,1
young,age,5
dose,girl,6
health,pap,4
vaccination,HPV,5
HPV,raise,5
reason,guy,1
end,end,1
great,health,21
girl,man,5
HPV,miss,1
home,game,4
world,health,3
reaction,cervical,1
lady,cause,2
birthday,HPV,2
Merck,Merck,2
world,world,3
good,treatment,6
age,age,2
share,share,1
fact,call,1
happy,kid,2
information,information,4
long,people,2
HPV,spread,4
notice,love,20
baby,boy,2
blog,oral,1
live,app,2
tweet,low,2
glad,glad,2
back,HPV,11
stage,make,1
medical,study,1
study,HPV,12
nurse,needle,3
day,school,6
wait,think,1
teens,young,3
exam,pap,4
arm,arm,1
love,Life,10
pay,treatment,2
forget,pap,3
forget,clinic,1
test,wait,1
God,God,3
join,talk,2
awesome,awesome,2
shot,reason,1
beat,funny,1
Gardasil,issue,6
raise,raise,2
follow,doctor,2
Gardasil,support,6
ready,spread,2
woman,real,4
save,event,1
offer,offer,1
hope,woman,18
HPV,affect,5
thing,get,8
vax,coverage,2
live,HIV,2
protect,protect,2
support,your,3
health,awesome,2
child,Gardasil,4
HPV,find,3
lose,friend,1
Christmas,commercial,2
annual,exam,7
guy,sex,1
beat,time,4
mammogram,decide,1
clinic,sexually,1
vaccine,video,1
raise,oral,2
Styles,Styles,1
start,pap,2
ass,yeah,1
perfect,time,3
treatment,treatment,6
awareness,month,6
save,save,2
fund,auction,1
cancer,ass,1
Rwanda,roll,1
big,big,4
fight,raise,1
question,answer,2
sign,kid,1
expert,cool,1
great,site,3
human,human,2
news,tonight,1
injection,awesome,1
cervical_cancer,pap_smear,32
walk,woman,3
Gardasil,shot,9
cervix,vagina,2
miss,strain,1
interesting,interesting,1
HPV,awesome,4
visit,sexually,1
support,raise,2
support,child,1
shot,lead,1
birthday,birthday,2
recommend,HIV,2
start,start,2
excit,walk,1
pussy,bitch,3
happy,healthy,2
rate,rate,1
protect,woman,9
stuff,today,2
doctor,morning,3
sound,perfect,1
medical,nurse,1
school,school,1
article,article,1
partner,check,1
happy,fun,2
case,case,1
HPV,class,3
chance,develop,2
advocate,vaccine,2
active,human,1
rate,high,1
annual,annual,1
love,heart,2
TRUE,TRUE,1
daughter,save,2
tomorrow,nurse,2
make,final,1
full,red,2
give,pap,3
excit,show,2
tweet,cervical_cancer,85
school,girl,8
HIV,week,1
funny,funny,3
Facebook,week,1
cure,cure,1
smear,kid,1
support,group,10
develop,HPV,2
girl,lose,1
wife,carry,1
bad,bad,1
interest,information,2
good,time,15
vaccine,rate,2
tell,doctor,1
people,Merck,2
man,watch,2
vaccine,school,5
read,woman,7
fact,health,1
country,country,1
interesting,HPV,18
money,money,3
free,kid,1
week,discuss,1
develop,world,1
vaccination,lower,2
cover,study,1
government,mandate,1
