source,target,weight
hey,get,6
Gardasil,get,8
live,learn,1
study,daughter,1
explain,work,1
woman,behavior,1
I,hepatitis,5
old,girlfriend,1
give,follow,1
learn,Katie,1
jag,GOP,1
partner,check,1
rate,lose,1
year,late,2
jab,woman,1
smear,night,1
top,year,2
age,increase,1
HPV,low,5
kid,lead,1
rise,gay,1
cold,protect,1
sexual,have,2
spread,get,3
month,strong,1
star,party,1
HPV,form,6
adverse,Gardasil,11
cancer,delay,1
parent,study,1
Gardasil,comment,1
head,cervical,1
link,full,1
year,negative,1
inside,government,1
vaccine,damage,1
big,time,4
post,rare,1
lady,prevent,1
treatment,read,1
male,suffer,1
husband,night,1
get,virgin,3
UK,gay,1
pain,vaccination,1
screen,black,1
contract,HIV,1
fund,fight,1
breast,woman,18
hepatitis,I,1
child,news,1
vaccine,strong,1
condom,HIV,11
game,Gardasil,1
body,clear,2
cancer,day,2
man,recent,1
yesterday,start,1
year,continue,1
close,controversial,1
event,cervical,1
million,question,1
watch,guy,1
tell,article,1
access,cervical,1
needle,free,1
real,question,1
research,place,1
yall,hit,1
cell,develop,2
live,share,1
case,develop,1
kind,thing,2
cancer,lung,3
have,affect,2
researcher,high,1
get,mine,5
HPV,ovarian,1
American,report,1
flu,treat,1
awkward,breast,1
aid,treatment,1
Prevention,reduce,1
send,boyfriend,1
jab,cervical,1
want,visit,1
decrease,HPV,1
STD,genital,3
cervical,human,2
help,control,1
find,health,1
dose,Cervarix,3
lady,think,1
case,UK,1
note,abnormal,1
doctor,Gardasil,5
papilloma,mouth,1
ask,number,1
smear,preventable,1
follow,woman,1
cure,detect,1
pap,health,2
suggest,woman,1
recommend,child,1
tumor,rate,1
I,recent,4
infect,child,2
Gardasil,deadly,8
young,cervical,1
quick,fact,2
girl,intercourse,3
wart,lead,2
low,access,3
test,need,4
risk,woman,23
drug,company,9
cancer,allow,1
year,month,2
stage,pap,1
man,penis,2
vaccine,post,2
it,virus,13
mouth,HPV,9
young,adult,3
deny,religious,5
Couric,week,1
check,Cervix,1
home,today,3
baby,doctor,1
drop,teenage,1
know,early,1
have,question,2
tv,ad,1
key,advance,1
pap,learn,1
HPV,issue,21
talk,safe,2
sex,science,1
stuff,debate,1
test,critical,2
oral,wart,1
cervical,health,10
take,let,2
order,Gardasil,3
high,priority,1
HIV,cold,1
card,recent,1
day,early,1
find,news,1
prevent,vagina,1
tumour,stage,1
hold,today,1
smear,Cervix,1
lady,part,1
HPV,it,201
chicken,herpes,1
cervical,give,1
Cervix,prevent,1
UK,public,1
cancer,website,1
immunisation,team,1
survey,truth,1
news,record,1
write,face,1
